companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:TMB,S,Tamilnad Mercantile Bank Ltd,8957.15,565.65,Banks - Private,Banks,7.37,1.64,7.27,7.69,4.14,0.95,-0.53,11.38,31.96,25.17,534.44,77.84,1.73,401,0.14,0.08,-0.2,0.84,0,0,7.23,8.9,1.96,5.68,41.06,7.48,160.56,234.24,null,0,274.08,270.98,1283.72,1301.15
NSE:TNPL,S,Tamil Nadu Newsprint & Papers Ltd,959.74,138.67,Paper,Paper,null,0.2,4.72,-127.25,209.31,0.46,-0.55,-3.82,-10.04,-18.9,142.66,7.41,27.31,115.5,0.9,0.96,-2.86,0.78,35.32,0,4.37,-128.24,-2.8,21.5,20.06,72.21,15297.05,133.2,120.89,55.48,null,4307.38,1871.08,1801.39
NSE:TNPETRO,C,Tamil Nadu Petro Products Ltd,885.5,98.42,Petrochem - Others,Petrochemicals,8.19,0.48,8.27,195.27,-2.87,0.91,-3.39,-6.98,-7.66,-8.33,103.62,6.96,24.23,63.66,0.33,0.09,-0.03,2.91,34.54,0,11.7,206.53,-1.22,1.7,54.6,34.71,354.07,325.7,570.06,451.73,276.83,304.2,323.74,17.99
BSE:TANAA,C,Taneja Aerospace & Aviation Ltd,660.46,259,Aviation,Aerospace & Defence,36.84,16.7,13.35,42.56,9.04,4.41,-7.1,-12.57,-29.88,-45.44,288.15,25.54,48.61,218.55,0,0,0,-0.02,52.03,-0.17,16.08,37.96,13.73,-4.25,18.51,63.52,139.71,97.73,0,0,104.62,109.19,0.17,0.3
BSE:TANFACIND,S,Tanfac Industries Ltd,4472.29,4483.5,Chemicals - Inorganic,Chemicals,47.55,6.44,74.82,76.33,-11.21,13.17,1.86,5.54,8.73,-2.17,4358.97,32.45,11.47,2510,0.09,0,0.01,0.1,51.81,0,34.88,75.72,-4.15,51.28,78.63,11.47,37.26,25.49,22.25,8.4,null,60.64,31.49,0
NSE:TANLA,C,Tanla Platforms Ltd,6136.87,462.75,IT - Software,IT - Software,12.92,1.48,3.31,-11.53,5.61,2.71,-8.16,-18.68,-34.61,-29.61,521.75,8.46,39.59,409.35,0.03,0.05,-0.04,-5.58,46.17,2.05,25.91,-11.01,3.63,7.77,13.05,77.93,126.58,92.95,0,89.54,837.81,780.95,58.18,75.04
NSE:TARACHAND,S,Tara Chand Infralogistic Solutions Ltd,591.42,75.03,Capital Goods - EPC/Cranes,Diversified,21.87,2.17,41.55,26.25,15.97,4.36,1.67,-1.95,-19.82,-3.91,76.72,7.27,27.63,46.5,0.96,1.3,0,0.07,70.68,1.07,16.62,22.32,7.53,16.93,61.35,28.39,225.95,72.08,0,0,null,180.42,130.37,85.23
NSE:TARC,C,TARC Ltd,4958.8,168.04,Realty - Regional,Realty,null,47.71,232.04,-48.26,-129.09,4.58,-4.71,12.73,15.89,-17.14,166.84,-27.55,18.47,103.22,1.81,1.03,1.98,-1.13,65.12,0.15,-0.32,-55.01,-90.95,59.4,62.8,37.75,-18.57,-32.3,0,0,1271.95,1106.78,1961.54,1392.54
NSE:TARSONS,C,Tarsons Products Ltd,1131.27,212.62,Medical Equipment,Healthcare,54.94,2.81,14.36,-40.51,86.52,1.81,-3.13,-8.08,-26.8,-44.54,228.36,12.8,53.58,198,0.63,0.02,-0.5,-5.04,47.3,0,5.16,-37.74,12.01,3.1,7.38,77.01,383.74,103.17,251.05,232.85,583.16,335.8,395.93,269.02
NSE:TASTYBITE,S,Tasty Bite Eatables Ltd,1956.96,7626.5,FMCG - Contract Mfg,FMCG,63.06,3.46,17.12,104.28,-55.8,6.14,0.11,-6.3,-14.46,-32.31,7818.43,34.17,36.22,7435.5,0.21,0.55,-0.02,-0.19,74.23,0,12.39,103.03,9.71,-15.21,2.57,64.51,153.12,75.76,13.09,21.45,null,238.26,66.1,86.44
