"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"INNOVACAP","Innova Captab Limited","7(2)","Gian Parkash Aggarwal","Immediate relative","Equity Shares","6182464","10.8",,"250000","188112500","Pledge","Equity Shares","6182464","10.8","14-Nov-2025","14-Nov-2025","14-Nov-2025","Pledge Creation","-","-","0","0","0","0","NA","-","18-Nov-2025 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189621_1577567_18112025053023_WEB.xml"
"INDIACEM","The India Cements Limited","7(2)","UltraTech Cement Limited","Promoters","Equity Shares","232423479","75",,"6649","2626909","Sell","Equity Shares","232416830","75","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189619_1577558_18112025052456_WEB.xml"
"INDIACEM","The India Cements Limited","7(2)","UltraTech Cement Limited","Promoters","Equity Shares","232430253","75",,"6774","2693170","Sell","Equity Shares","232423479","75","13-Nov-2025","13-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189619_1577558_18112025052456_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","Ajay Bhagwat","Promoters","Equity Shares","2305584","0.85",,"41000","49769900","Sell","Equity Shares","2264584","0.84","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189616_1577519_18112025050539_WEB.xml"
"TTL","T T Limited","7(2)","SANJAY KUMAR JAIN","Promoter Group","Equity Shares","5748740","2.22",,"95695","906351","Buy","Equity Shares","5844435","2.26","18-Nov-2025","18-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 17:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189614_1577506_18112025050040_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","S. B. (Ravi) Pandit","Promoters","Equity Shares","989306","0.36",,"41000","50196213","Buy","Equity Shares","1030306","0.37","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","18-Nov-2025 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189611_1577485_18112025044912_WEB.xml"
"SASTASUNDR","Sastasundar Ventures Limited","7(2)","Luv Kush Projects Limited","Promoter Group","Equity Shares","3785234","11.9",,"20000","5806748","Buy","Equity Shares","3805234","11.96","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 16:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189609_1577469_18112025042813_WEB.xml"
"CHOICEIN","Choice International Limited","7(2)","Mr. Arun Kumar Poddar","Promoters","Equity Shares","16200000","7.75",,"600000","470280000","Pledge","Equity Shares","16200000","7.75","14-Nov-2025","14-Nov-2025","18-Nov-2025","Pledge Creation","-","-","0","0","0","0","NA","-","18-Nov-2025 16:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189607_1577462_18112025042114_WEB.xml"
"SASTASUNDR","Sastasundar Ventures Limited","7(2)","BANWARI LAL MITTAL","Promoters","Equity Shares","10616000","33.37",,"20000","5984730","Buy","Equity Shares","10636000","33.44","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 16:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189604_1577445_18112025040821_WEB.xml"
"CEATLTD","CEAT Limited","7(2)","CEAT Employees Welfare Trust","Other","Equity Shares","86000","0",,"4000","16187","Buy","Equity Shares","90000","0","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 16:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189602_1577433_18112025040218_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Ramachandran Padmanabhan","Employees/Designated Employees","ADR/GDR/FCCB","26445","0",,"10000","2340098","Sell","ADR/GDR/FCCB","16445","0","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","-","-","18-Nov-2025 16:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189601_1577429_18112025040147_WEB.xml"
"RELIABLE","Reliable Data Services Limited","7(2)","MEENAKSHI PATHAK","Promoter Group","Equity Shares","60036","0.58",,"40600","5905828","Sell","Equity Shares","19436","0.18","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 16:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189600_1577426_18112025040137_WEB.xml"
"RELIABLE","Reliable Data Services Limited","7(2)","MEENU RAI","Promoter Group","Equity Shares","57636","0.56",,"16500","2409868","Sell","Equity Shares","41136","0.39","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 16:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189600_1577426_18112025040137_WEB.xml"
"JINDALSTEL","JINDAL STEEL LIMITED","7(2)","JINDAL CEMENT INDUSTRIES PRIVATE LIMITED","Promoter Group","Equity Shares","Nil","0",,"155862","168239001","Buy","Equity Shares","155862","0.01","12-Nov-2025","12-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 15:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189595_1577411_18112025035212_WEB.xml"
"JINDALSTEL","JINDAL STEEL LIMITED","7(2)","JINDAL CEMENT INDUSTRIES PRIVATE LIMITED","Promoter Group","Equity Shares","301887","0.03",,"151649","163319907","Buy","Equity Shares","453536","0.04","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 15:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189595_1577411_18112025035212_WEB.xml"
"JINDALSTEL","JINDAL STEEL LIMITED","7(2)","JINDAL CEMENT INDUSTRIES PRIVATE LIMITED","Promoter Group","Equity Shares","155862","0.01",,"146025","158126091","Buy","Equity Shares","301887","0.03","13-Nov-2025","13-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 15:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189595_1577411_18112025035212_WEB.xml"
"CARYSIL","CARYSIL LIMITED","7(2)","MARCUS JOHN SMYTH","Other","Equity Shares","26500","0.09",,"26500","27038100","Sell","Equity Shares","Nil","0","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189593_1577389_18112025033336_WEB.xml"
"CARYSIL","CARYSIL LIMITED","7(2)","MARCUS JOHN SMYTH","Other","Equity Shares","27000","0.1",,"500","516015","Sell","Equity Shares","26500","0.09","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189593_1577389_18112025033336_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","156312","0.07",,"82","13612","Buy","Equity Shares","156394","0.07","13-Nov-2025","13-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 14:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189591_1577347_18112025023635_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","155112","0.07",,"1200","200400","Buy","Equity Shares","156312","0.07","13-Nov-2025","13-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 14:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189591_1577347_18112025023635_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","154112","0.07",,"1000","163000","Buy","Equity Shares","155112","0.07","11-Nov-2025","11-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 14:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189591_1577347_18112025023635_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","Aarti Devesh Sahney","Promoters","Equity Shares","647366","2.67",,"36154","1144636","Buy","Equity Shares","683520","2.82","17-Nov-2025","17-Nov-2025","18-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189588_1577299_18112025121753_WEB.xml"
"INDGN","Indegene Limited","7(2)","Sameer Narendra Lal","-","Equity Shares","577515","0.24",,"10000","5125695","Sell","Equity Shares","567515","0.24","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","18-Nov-2025 11:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189585_1577270_18112025112938_WEB.xml"
"SENORES","Senores Pharmaceuticals Limited","7(2)","Pratik Sureshkumar Thakkar","Employees/Designated Employees","Equity Shares","3300","0.01",,"200","156374","Buy","Equity Shares","3500","0.01","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 11:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189583_1577256_18112025110008_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","LEBNITZE REAL ESTATES PVT LTD","Promoter Group","Equity Shares","458803","2.49",,"2630","1203082","Buy","Equity Shares","461433","2.5","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 10:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189581_1577252_18112025105743_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","LEBNITZE REAL ESTATES PVT LTD","Promoter Group","Equity Shares","457183","2.47",,"1620","742199","Buy","Equity Shares","458803","2.49","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","18-Nov-2025 10:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189581_1577252_18112025105743_WEB.xml"
"CHALET","Chalet Hotels Limited","7(2)","Sanjay Sethi","Director","Equity Shares","242487","0.11",,"42000","37499700","Pledge Revoke","Equity Shares","242487","0.11","11-Nov-2025","11-Nov-2025","13-Nov-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","17-Nov-2025 20:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189578_1577221_17112025082157_WEB.xml"
"ZYDUSLIFE","Zydus Lifesciences Limited","7(2)","Jasodaben Babubhai Patel","Promoter Group","Equity Shares","41577","0",,"1000","963522","Buy","Equity Shares","42577","0","12-Nov-2025","12-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 18:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189576_1577191_17112025065918_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","GAURAV MUNDRA","-","Equity Shares","Nil","0",,"3300","2720421","Buy","Equity Shares","3300","0","14-Nov-2025","14-Nov-2025","14-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","17-Nov-2025 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189574_1577181_17112025064654_WEB.xml"
"IKS","Inventurus Knowledge Solutions Limited","7(2)","MICHAEL AARON PAOLETTI","-","Equity Shares","20136","0.01",,"10067","16767358","Sell","Equity Shares","10069","0.01","10-Nov-2025","10-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189574_1577181_17112025064654_WEB.xml"
"WINSOL","Winsol Engineers Limited","7(2)","RAMESH JIVABHAI PINDARIYA","Promoters","Equity Shares","6366200","55.19",,"14000","2550974","Buy","Equity Shares","6380200","55.31","11-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189571_1577174_17112025063827_WEB.xml"
"TTL","T T Limited","7(2)","SANJAY KUMAR JAIN","Promoter Group","Equity Shares","5643740","2.18",,"105000","1006524","Buy","Equity Shares","5748740","2.22","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189569_1577149_17112025061633_WEB.xml"
"ETHOSLTD","Ethos Limited","7(2)","Alok Mohatta","Promoter Group","Equity Shares","52","0",,"833","0","Buy","Equity Shares","855","0","12-Nov-2025","12-Nov-2025","14-Nov-2025","Gift","-","-","0","0","0","0","NA","-","17-Nov-2025 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189568_1577112_17112025060343_WEB.xml"
"ETHOSLTD","Ethos Limited","7(2)","Narendra Kumar S Mohatta","Promoter Group","Equity Shares","21629","0.08",,"833","0","Sell","Equity Shares","20796","0.08","12-Nov-2025","12-Nov-2025","14-Nov-2025","Gift","-","-","0","0","0","0","NA","-","17-Nov-2025 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189568_1577112_17112025060343_WEB.xml"
"USHAMART","Usha Martin Limited","7(2)","PETERHOUSE INVESTMENTS LIMITED","Promoter Group","Equity Shares","4090000","1.34",,"40000","18155200","Sell","Equity Shares","4050000","1.33","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189567_1577110_17112025060327_WEB.xml"
"WESTLIFE","WESTLIFE FOODWORLD LIMITED","7(2)","Amit Jatia","Promoters","Equity Shares","50000","0.03",,"8980","558","Buy","Equity Shares","58980","0.04","13-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189561_1577057_17112025052237_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2143075","0.54",,"10000","266200","Buy","Equity Shares","2153075","0.55","13-Nov-2025","13-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2179258","0.55",,"10000","265600","Buy","Equity Shares","2189258","0.55","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2174258","0.55",,"5000","132750","Buy","Equity Shares","2179258","0.55","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2169258","0.55",,"5000","132850","Buy","Equity Shares","2174258","0.55","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2153075","0.55",,"6183","164776","Buy","Equity Shares","2159258","0.55","13-Nov-2025","13-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"DHANBANK","Dhanlaxmi Bank Limited","7(2)","K.N MADHUSOODANAN","Director","Equity Shares","2159258","0.55",,"10000","265900","Buy","Equity Shares","2169258","0.55","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189559_1577053_17112025051739_WEB.xml"
"INFY","Infosys Limited","7(2)","Kishore","Immediate relative","Equity Shares","42400","0",,"5000","7776500","Sell","Equity Shares","37400","0","13-Nov-2025","13-Nov-2025","13-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189557_1577042_17112025051117_WEB.xml"
"GHCLTEXTIL","Ghcl Textiles Limited","7(2)","Marshal Rajendrakumar Sonavane","Key Managerial Personnel","Equity Shares","2549","0",,"250","19337","Buy","Equity Shares","2799","0","11-Nov-2025","11-Nov-2025","13-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 17:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189555_1577036_17112025050816_WEB.xml"
"IDEAFORGE","Ideaforge Technology Limited","7(2)","Mathew Cyriac","Director","Equity Shares","403410","0.93",,"403410","186355249","Pledge Revoke","Equity Shares","403410","0.93","13-Nov-2025","13-Nov-2025","17-Nov-2025","-","-","-","0","0","0","0","NA","-","17-Nov-2025 16:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189548_1576999_17112025042439_WEB.xml"
"IDEAFORGE","Ideaforge Technology Limited","7(2)","Mathew Cyriac","Director","Equity Shares","403410","0.93",,"403410","186730340","Sell","Equity Shares","Nil","0","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","BSE","-","17-Nov-2025 16:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189548_1576999_17112025042439_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","D B Power Limited","Promoter Group","Equity Shares","1987252","1.11",,"2070","537913","Buy","Equity Shares","1989322","1.12","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 16:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189546_1576985_17112025041218_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Zensar Employees Welfare Trust","Employees/Designated Employees","Equity Shares","390170","0.17",,"35000","25516005","Buy","Equity Shares","425170","0.19","13-Nov-2025","13-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189545_1576981_17112025040937_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Zensar Employees Welfare Trust","Employees/Designated Employees","Equity Shares","425170","0.19",,"20500","14712120","Buy","Equity Shares","445670","0.2","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189545_1576981_17112025040937_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","NISHANT RANJAN","-","Equity Shares","1663","0",,"1663","3675230","Sell","Equity Shares","Nil","0","13-Nov-2025","13-Nov-2025","13-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189540_1576966_17112025034004_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","SOMESH HIRDAYRAM PATHAK","-","Equity Shares","1277","0",,"1277","2901207","Sell","Equity Shares","Nil","0","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189540_1576966_17112025034004_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","ABHISHEK KUMAR","-","Equity Shares","1200","0",,"1200","2713320","Sell","Equity Shares","Nil","0","17-Nov-2025","17-Nov-2025","17-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189540_1576966_17112025034004_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Amit Sanghvi","Promoter Group","Equity Shares","1303290","2.84",,"100000","258510000","Sell","Equity Shares","1203290","2.62","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Laxman Sanghvi","Promoters","Equity Shares","2382120","5.18",,"50000","129255000","Sell","Equity Shares","2332120","5.07","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Purnendu Mallick","-","Equity Shares","1688","0",,"100","260000","Sell","Equity Shares","1588","0","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Purnendu Mallick","-","Equity Shares","2078","0",,"190","468160","Sell","Equity Shares","1888","0","12-Nov-2025","12-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Purnendu Mallick","-","Equity Shares","1888","0",,"200","509772","Sell","Equity Shares","1688","0","13-Nov-2025","13-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"SHAILY","Shaily Engineering Plastics Limited","7(2)","Alpana Parida","Immediate relative","Equity Shares","138780","0.3",,"5000","13175250","Sell","Equity Shares","133780","0.3","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189538_1576957_17112025033502_WEB.xml"
"GRAVITA","Gravita India Limited","7(2)","Gravita Employee Welfare Trust","Other","Equity Shares","983299","1.33",,"1301","2274785","Sell","Equity Shares","981998","1.33","12-Nov-2025","14-Nov-2025","15-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189537_1576955_17112025033415_WEB.xml"
"ACI","Archean Chemical Industries Limited","7(2)","-","-",,"-","0",,,"-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","-","-","17-Nov-2025 15:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189534_1576933_17112025031302_WEB.xml"
"ACI","Archean Chemical Industries Limited","7(2)","Rajeev Kumar","Employees/Designated Employees","Equity Shares","3793","0",,"6142","12284","Buy","Equity Shares","9935","0.01","14-Nov-2025","14-Nov-2025","14-Nov-2025","ESOP","-","-","0","0","0","0","NSE","-","17-Nov-2025 15:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189534_1576933_17112025031302_WEB.xml"
"NCC","NCC Limited","7(2)","A V S R Holdings Private Limited","Promoters","Equity Shares","67244274","10.71",,"420000","77530100","Buy","Equity Shares","67664274","10.78","13-Nov-2025","14-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 14:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189532_1576917_17112025024512_WEB.xml"
"NCC","NCC Limited","7(2)","Alluri Arundhati","Promoter Group","Equity Shares","3683022","0.59",,"10000","1846200","Buy","Equity Shares","3693022","0.59","14-Nov-2025","14-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 14:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189530_1576914_17112025024012_WEB.xml"
"NCC","NCC Limited","7(2)","Alluri Arundhati","Promoter Group","Equity Shares","3683022","0.59",,"10000","1846200","Buy","Equity Shares","3693022","0.59","14-Nov-2025","14-Nov-2025","15-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 14:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189529_1576912_17112025023936_WEB.xml"
"UDS","Updater Services Limited","7(2)","Raghunandana Tangirala","Promoters","Equity Shares","16110579","24.06",,"11400","2268600","Buy","Equity Shares","16121979","24.08","14-Nov-2025","14-Nov-2025","17-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 13:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189526_1576899_17112025011820_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","Aarti Devesh Sahney","Promoters","Equity Shares","594370","2.45",,"52996","1675734","Buy","Equity Shares","647366","2.67","13-Nov-2025","13-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 12:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189524_1576884_17112025125139_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","763039","1.6",,"4304","18953521","Buy","Equity Shares","767343","1.61","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","17-Nov-2025 12:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189521_1576869_17112025122225_WEB.xml"
