companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:ADANIENT,C,Adani Enterprises Ltd,246602.25,2136.6,Trading,Trading,19.23,2.6,-5.11,264.1,62.72,4.57,-4.03,-1.01,-11.32,-3.23,2103.11,27.18,18.13,1848,2.03,1.67,0.11,-0.08,73.97,0,14.81,205.27,16.81,8.63,15.75,47.34,60.09,31.67,41328.57,51515.81,102025.06,79226.82,109464.93,65310.15
BSE:ADANIENPP,S,Adani Enterprises Ltd Partly Paidup,23808.44,1719,Trading,Trading,null,null,null,null,null,1.91,null,null,null,null,null,null,4.26,1279.95,null,null,null,null,null,null,null,null,null,null,34.3,4.26,null,null,null,null,null,null,null,null
NSE:ADANIGREEN,C,Adani Green Energy Ltd,156564.09,950.5,Power - Generation/Distribution,Power Generation & Distribution,110.78,12.53,17.19,-6.54,-118.53,8.01,-2.2,1.47,-11.82,2.75,903.26,24.16,19.36,758,4.52,9.22,2.59,-2.26,62.43,1.5,7.18,-11.83,-12.97,11.88,25.27,68.87,417.99,94.22,16691,14480,88401,62288,88153,64858
NSE:ADANIPORTS,C,Adani Ports & Special Economic Zone Ltd,349971.39,1519,Marine Port & Services,Marine Port & Services,26.32,9.59,23.74,24.31,-2.48,4.16,-2.04,6.33,1.47,15.26,1457.87,18.44,3.97,1036.5,0.85,1.17,-0.31,-0.85,68.02,2.13,14.88,24,5.86,21.86,46.74,6.19,155.74,94.96,10103.84,11706.1,96621.58,75147.81,56850.7,49303.71
NSE:ADANIPOWER,C,Adani Power Ltd,269792.88,139.9,Power - Generation/Distribution,Power Generation & Distribution,23.87,4.97,-1.94,-12.33,-14.39,4.61,-8.41,-2.43,-7.91,19.4,142.08,16.45,23.46,92.4,0.83,3.12,1.81,-0.71,74.96,0,16.41,-13.68,-7.47,-8.92,51.34,23.46,168.64,100.92,19778.65,12104.42,71101.72,63015.85,48463.69,34615.56
NSE:ATGL,C,Adani Total Gas Ltd,57179.13,519.9,Gas Distribution,Gas Distribution,89.02,10.07,17.67,-3.87,-2.96,12.69,-4.34,-6.4,-16,-14.62,534.2,52.13,34.81,507.05,0.45,0.48,-0.03,-0.26,74.8,0,14.99,-4.64,3.86,16.45,2.59,87,147.29,85.06,1834.29,1872.42,3987.31,3178.42,2007.07,1557.25
BSE:ADCINDIA,S,ADC India Communications Ltd,613.18,1333,Telecom Services,Telecom Equipment & Infra Services,33.39,3.32,-0.48,-35.47,42.23,7.96,1.38,-5.08,0.73,-0.5,1363.85,29.75,36.22,901.25,0,0,0,0.11,72.02,0,30.89,-37.57,4.83,14.41,47.91,42.29,106.01,88.82,0,0.24,null,2.79,0,0
NSE:ADFFOODS,C,ADF Foods Ltd,2415.13,219.83,FMCG - Contract Mfg,FMCG,29.99,3.74,10.52,3.33,-15.2,4.55,-3.12,13.41,1.35,-3.99,197.61,19.13,27.17,168.2,0.02,0.13,-0.54,1.25,36.13,0,19.79,2.77,17.47,29.51,30.26,38.1,54.03,38.04,59.98,18.88,192.5,182.33,12.08,55.86
NSE:ABCAPITAL,C,Aditya Birla Capital Ltd,88003.86,336.2,Conglomerate Backed NBFC,Finance,25.07,1.99,13.05,-5.97,9.45,2.73,-3.32,-4.18,1.07,24.34,346.18,49.57,9.19,149.01,4.86,4.15,5.16,-3.39,68.58,-0.28,8.57,0.02,12.81,27.4,125.05,9.19,-826.01,-615.51,null,122.16,1479.24,1182.08,156546.33,109540.1
NSE:ABFRL,C,Aditya Birla Fashion & Retail Ltd,9007.28,73.8,Textiles - Readymade Apparel,Retail,null,1.14,9.65,-1.28,53.47,1.43,7.24,0.65,-7.89,-1.85,67.61,19.51,31.97,59.8,0.91,2.29,-6.68,0.01,46.61,-2.63,-3.1,-2.1,19.78,7.87,22.58,64.59,-263.36,243.02,270.67,181.22,9648.55,11878.73,5665.24,9451.4
